file,label,train_test,value
1507059000.png,0,train,-0.0006328905715
1507059300.png,0,train,-0.001008422670539
1507059600.png,0,train,-0.00059330682304
1507059900.png,1,train,0.00033630014057
1507060200.png,1,train,0.000172032033934
1507060500.png,0,train,-0.000207240477771
1507123800.png,1,train,0.000316600697621
1507124100.png,0,train,-0.000514057130278
1507124400.png,1,train,0.000633291375641
1507124700.png,1,train,0.000791751290069
1507125000.png,1,train,0.000514484374809
1507125300.png,0,train,-0.000312466879235
1507125600.png,0,train,-0.000261021252743
1507125900.png,1,train,0.000207283435289
1507126200.png,1,train,0.000140834570088
1507126500.png,1,train,0.000553926511853
1507126800.png,1,train,0.000514280178272
1507127100.png,1,train,0.000435034207643
1507127400.png,1,train,0.000553816976014
1507127700.png,1,train,0.000747812334967
1507128000.png,1,train,0.000731895472239
1507128300.png,1,train,0.000988767614384
1507128600.png,1,train,0.000917317786453
1507128900.png,1,train,0.000889713857886
1507129200.png,1,train,0.000830328623231
1507129500.png,1,train,0.000830295812867
1507129800.png,1,train,0.001146596106906
1507130100.png,1,train,0.001423377403756
1507130400.png,1,train,0.001225529007052
1507130700.png,1,train,0.000790220676977
1507131000.png,1,train,0.00107688168159
1507131300.png,1,train,0.001165516974872
1507131600.png,1,train,0.001066602174629
1507131900.png,1,train,0.000869089125518
1507132200.png,1,train,0.000315938040712
1507132500.png,1,train,7.89808613288478E-05
1507132800.png,0,train,-7.892685029387E-05
1507133100.png,0,train,-0.000434287233082
1507133400.png,0,train,-0.000197398650822
1507133700.png,0,train,-0.00066966455111
1507134000.png,0,train,-0.000473540331799
1507134300.png,0,train,-0.00035521131068
1507134600.png,0,train,-0.000236863631547
1507134900.png,0,train,-0.000592219318856
1507135200.png,0,train,-0.000157986668986
1507135500.png,1,train,0.00017779219937
1507135800.png,0,train,-0.00047380209978
1507136100.png,0,train,-0.000869984341126
1507136400.png,0,train,-0.001144951387912
1507136700.png,0,train,-0.001342486638544
1507137000.png,0,train,-0.000671292707541
1507137300.png,0,train,-0.000240921909355
1507137600.png,0,train,-0.000315963001655
1507137900.png,0,train,-0.000533161269112
1507138200.png,0,train,-0.000276495479175
1507138500.png,1,train,0.000276697860712
1507138800.png,1,train,0.000118576934446
1507139100.png,1,train,0.000474480605115
1507139400.png,0,train,-0.000118599744013
1507139700.png,0,train,-0.000193652152382
1507140000.png,0,train,-0.000316062865826
1507140300.png,0,train,-3.94899323582498E-05
1507140600.png,1,train,0.000334274011594
1507140900.png,1,train,0.00027656102783
1507141200.png,1,train,0.000553313521794
1507141500.png,1,train,0.000474195280539
1507141800.png,1,train,0.000513772076596
1507142100.png,1,train,0.000711381360047
1507142400.png,1,train,0.000829934869741
1507142700.png,1,train,0.000375380196048
1507143000.png,1,train,6.08170581903877E-05
1507143300.png,0,train,0
1507143600.png,0,train,-0.000276533904274
1507143900.png,0,train,-0.000473970525952
1507144200.png,0,train,-0.000552985703918
1507144500.png,0,train,-0.000197468807822
1507144800.png,1,train,0.00122407723038
1507145100.png,1,train,0.00167869278813
1507145400.png,1,train,0.001994726414919
1507145700.png,1,train,0.002093615611595
1507146000.png,1,train,0.002647272427357
1507146300.png,1,train,0.002133939061927
1507146600.png,1,train,0.002272445761436
1507146900.png,1,train,0.002014435006219
1507210200.png,1,train,0.00059161207098
1507210500.png,1,train,0.00070975028174
1507210800.png,1,train,0.000256242990536
1507211100.png,1,train,0.000137983534847
1507211400.png,0,train,-0.00019698846962
1507211700.png,1,train,0.000867546921725
1507212000.png,1,train,0.000966110211172
1507212300.png,1,train,0.000492746781808
1507212600.png,1,train,0.000315267707812
1507212900.png,0,train,-3.9382563180701E-05
1507213200.png,1,train,0.000403930337802
1507213500.png,1,train,0.000177357151114
1507213800.png,1,train,0.000354721278267
1507214100.png,1,train,3.94380273482931E-05
1507214400.png,1,train,9.68964639642689E-05
1507214700.png,1,train,0.000453125417083
1507215000.png,1,train,0.000748660098635
1507215300.png,1,train,0.000906315654596
1507215600.png,1,train,0.000975004421182
1507215900.png,1,train,0.001497497206173
1507216200.png,1,train,0.001620569953641
1507216500.png,1,train,0.001694085034172
1507216800.png,1,train,0.001636201531369
1507217100.png,1,train,0.001496553582045
1507217400.png,1,train,0.001574963233335
1507217700.png,1,train,0.001811050054595
1507218000.png,1,train,0.00190877491181
1507218300.png,1,train,0.001377217692438
1507218600.png,1,train,0.00097833180232
1507218900.png,1,train,0.000806300220471
1507219200.png,1,train,0.000452261182903
1507219500.png,1,train,0.000747158628101
1507219800.png,1,train,0.000255532825531
1507220100.png,0,train,-0.000235424052027
1507220400.png,0,train,-0.000255337099815
1507220700.png,1,train,0.000294695063159
1507221000.png,1,train,0.000176837883196
1507221300.png,1,train,0.000255457510909
1507221600.png,1,train,0.000609259959673
1507221900.png,1,train,0.000353634075791
1507222200.png,1,train,0.000216127941985
1507222500.png,1,train,0.000707158222604
1507222800.png,0,train,-0.000117868767217
1507223100.png,0,train,-0.00033428894697
1507223400.png,0,train,-1.96651645998358E-05
1507223700.png,0,train,-3.93280113820671E-05
1507224000.png,0,train,-0.000294614035832
1507224300.png,0,train,-0.000392827805783
1507224600.png,0,train,-3.92711467031015E-05
1507224900.png,0,train,-0.000432086611519
1507225200.png,1,train,3.93341944084913E-05
1507225500.png,0,train,-0.000235405644519
1507225800.png,0,train,-9.82078447323564E-05
1507226100.png,0,train,-0.00013747359269
1507226400.png,1,train,9.82136331195704E-05
1507226700.png,1,train,0.000144625117246
1507227000.png,1,train,3.92726889866246E-05
1507227300.png,1,train,0.000314386099229
1507227600.png,1,train,0.000667995462595
1507227900.png,1,train,0.000746806236828
1507228200.png,1,train,0.000412597406507
1507228500.png,1,train,0.000412597406507
1507228800.png,1,train,0.00031433669711
1507229100.png,0,train,-2.67385882732896E-05
1507229400.png,1,train,3.92711467029905E-05
1507229700.png,0,train,0
1507230000.png,0,train,-0.000314151535004
1507230300.png,0,train,-0.000157076650709
1507230600.png,0,train,-0.000235672708627
1507230900.png,1,train,0.000274931514362
1507231200.png,0,train,-0.001806793125004
1507231500.png,0,train,-0.000942950137734
1507231800.png,0,train,-0.000884015754126
1507232100.png,0,train,-0.00129641259909
1507232400.png,0,train,-0.001453354994604
1507232700.png,0,train,-0.001021368417898
1507233000.png,0,train,-0.000353652346255
1507233300.png,0,train,-0.001178039662906
1507296600.png,1,train,0.000944360090363
1507296900.png,1,train,0.00019665336421
1507297200.png,1,train,0.000452210050608
1507297500.png,1,train,0.000826022555542
1507297800.png,1,train,0.00031464761478
1507298100.png,0,train,-0.000786429751729
1507298400.png,0,train,-0.001061152464112
1507298700.png,0,train,-0.000825660345303
1507299000.png,0,train,-0.001395588058157
1507299300.png,0,train,-0.001218987136107
1507299600.png,0,train,-0.001336463624402
1507299900.png,0,train,-0.001690023535587
1507300200.png,0,train,-0.001022433102758
1507300500.png,1,train,6.88750187425313E-05
1507300800.png,0,train,-0.000142045539824
